Acat2
Acat3
Acot7
Acyp1
Alyref
Alyref2
Alyreffm1
Alyreffm10
Alyreffm11
Alyreffm3
Alyreffm4
Alyreffm5
Alyreffm6
Alyreffm7
Alyreffm8
Alyreffm9
Anln
Anp32e
Arhgap11a
Arhgap11a
Asf1b
Aspm
Atad2
Atad5
Aurka
Aurkb
Bard1
Birc5
Blm
Brca1
Brca2
Brip1
Bub1
Bub1b
2410002F23Rik
2610028H24Rik
Knl1
Casc5
Casp8ap2
Cbx5
Ccdc167
Ccdc18
Ccdc34
Ccna2
Ccnb1
Ccnb1-ps
Ccnb2
Ccne2
Cdc20
Cdc25c
Cdc45
Cdc6
Cdca2
Cdca3
Cdca4
Cdca5
Cdca7
Cdca8
Cdk1
Cdkn2c
Cdkn3
Cdt1
Cenpa
Cenpe
Cenpf
Cenph
Cenpk
Cenpm
Cenpn
Cenpu
Cenpw
Cep152
Cep55
Cep78
Chaf1a
Chaf1b
Chek1
Ckap2
Ckap2l
Ckap5
Cks1b
Cks2
Clspn
Ctcf
Ddx39a
Depdc1a
Dhfr
Diaph3
Dlgap5
Dnajc9
Dscc1
Dtl
Dtymk
E2f1
E2f8
Ebp
Ect2
Esco2
Exo1
Exosc8
Ezh2
Fam111a
Pimreg
Fam64a
Fancd2
Fanci
Fbxo5
Fen1
Foxm1
G2e3
Gas2l3
Ggh
Gins2
Gmnn
Gtse1
H2ax
H2afx
Hat1
Haus1
Hells
Hint2
Hirip3
H1f5
Hist1h1b
H1f3
Hist1h1d
H1f4
Hist1h1e
Hjurp
Hmgb2
Hmgb3
Hmmr
Jpt1
Hn1
Itgb3bp
Pclaf
Cip2a
Kif11
Kif14
Kif15
Kif20b
Kif22
Kif23
Kif2c
Kif4
Kifc1
Kifc5b
Knstrn
Kpna2
Kpna2rt
Lbr
Lig1
Lmnb1
Lmnb2
Lrr1
Mad2l1
Mad2l2
Magohb
Mcm2
Mcm3
Mcm4
Mcm5
Mcm6
Mcm7
Melk
Mki67
Cenpu
Mlf1ip
Mnd1
Msh2
Mthfd1
Mxd3
Mybl2
Mzt1
Nasp
Ncapd2
Ncapd3
Ncapg
Ncapg2
Ncaph
Ndc80
Nek2
Nuf2
Nusap1
Orc6
Paqr4
Pbk
Pcna
Phf19
Plk1
Pola1
Pold3
Prc1
Prim1
Psrc1
Pttg1
Pxmp2
Racgap1
Rad51
Rad51ap1
Rad51c
Rangap1
Rfc2
Rfc3
Rfc4
Rnaseh2a
Rpa2
Rpl39l
Rrm1
Rrm2
Sac3d1
Sae1
Samd1
Sgo1
Sgol1
Sgo2a
Sgol2
Sgo2b
Shcbp1
Slbp
Smc2
Smc4
Snrnp25
Spc25
Spdl1
Stmn1
Tacc3
Tcf19
Tfdp1
Tipin
Tk1
Tmem106c
Tmpo
Top2a
Topbp1
Tpx2
Troap
Ttk
Tubb4b
Tyms
Ube2c
Ube2t
Ubr7
Uhrf1
Ung
Usp1
Vrk1
Dync2i2
Wdr34
Wdr76
Wee1
Nsd2
Whsc1
Yeats4
Zfp367
Zwint
