ACAT2
ACOT7
ACYP1
ALYREF
ANLN
ANP32E
ARHGAP11A
ARHGAP11B
ASF1B
ASPM
ATAD2
ATAD5
AURKA
AURKB
BARD1
BIRC5
BLM
BRCA1
BRCA2
BRIP1
BUB1
BUB1B
C19orf48
C21orf58
CASC5
CASP8AP2
CBX5
CCDC167
CCDC18
CCDC34
CCNA2
CCNB1
CCNB2
CCNE2
CDC20
CDC25C
CDC45
CDC6
CDCA2
CDCA3
CDCA4
CDCA5
CDCA7
CDCA8
CDK1
CDKN2C
CDKN3
CDT1
CENPA
CENPE
CENPF
CENPH
CENPK
CENPM
CENPN
CENPU
CENPW
CEP152
CEP55
CEP78
CHAF1A
CHAF1B
CHEK1
CKAP2
CKAP2L
CKAP5
CKS1B
CKS2
CLSPN
CTCF
DDX39A
DEPDC1
DHFR
DIAPH3
DLGAP5
DNAJC9
DSCC1
DTL
DTYMK
E2F1
E2F8
EBP
ECT2
ESCO2
EXO1
EXOSC8
EZH2
FAM111A
FAM111B
FAM64A
FANCD2
FANCI
FBXO5
FEN1
FOXM1
G2E3
GAS2L3
GGH
GINS2
GMNN
GTSE1
H2AFX
HAT1
HAUS1
HELLS
HINT2
HIRIP3
HIST1H1B
HIST1H1D
HIST1H1E
HJURP
HMGB2
HMGB3
HMMR
HN1
ITGB3BP
KIAA0101
KIAA1524
KIF11
KIF14
KIF15
KIF20B
KIF22
KIF23
KIF2C
KIF4A
KIFC1
KNSTRN
KPNA2
LBR
LIG1
LMNB1
LMNB2
LRR1
MAD2L1
MAD2L2
MAGOHB
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
MELK
MKI67
MLF1IP
MND1
MSH2
MTHFD1
MXD3
MYBL2
MZT1
NASP
NCAPD2
NCAPD3
NCAPG
NCAPG2
NCAPH
NDC80
NEK2
NUF2
NUSAP1
ORC6
PAQR4
PBK
PCNA
PHF19
PLK1
POLA1
POLD3
PRC1
PRIM1
PSRC1
PTTG1
PXMP2
RACGAP1
RAD51
RAD51AP1
RAD51C
RANGAP1
RFC2
RFC3
RFC4
RNASEH2A
RPA2
RPL39L
RRM1
RRM2
SAC3D1
SAE1
SAMD1
SGOL1
SGOL2
SHCBP1
SLBP
SMC2
SMC4
SNRNP25
SPC25
SPDL1
STMN1
TACC3
TCF19
TFDP1
TIPIN
TK1
TMEM106C
TMPO
TOP2A
TOPBP1
TPX2
TROAP
TTK
TUBB4B
TYMS
UBE2C
UBE2T
UBR7
UHRF1
UNG
USP1
VRK1
WDR34
WDR76
WEE1
WHSC1
YEATS4
ZNF367
ZWINT
